GJOIN2010,GJOIN2020,WEIGHT,PAREA
G36004700021003004,G36004700021003000,1.0,1.0
G36004700021003005,G36004700021003004,1.0,1.0
G36004700021003006,G36004700021003003,1.0,1.0
G36004700021003007,G36004700021003002,1.0,1.0
G36004700021003008,G36004700021003001,1.0,1.0
G36004700021003009,G36004700021003008,1.0,1.0
G36004700021003010,G36004700021003007,1.0,1.0
G36004700021003011,G36004700021003006,1.0,1.0
G36004700021003012,G36004700021003005,1.0,1.0
G36004700021003013,G36004700021003012,1.0,1.0
G36004700021003014,G36004700021003011,1.0,1.0
G36004700021003015,G36004700021003010,1.0,1.0
G36004700021003016,G36004700021003009,1.0,1.0
G36004700021003017,G36004700021003015,1.0,1.0
G36004700021003018,G36004700021003014,1.0,1.0
G36004700021003019,G36004700021003013,1.0,1.0
G36004700021003020,G36004700021003016,1.0,1.0
G36004700021003021,G36004700021003017,0.333955223881,0.333955223881
G36004700021003021,G36004700021003018,0.666044776119,0.666044776119
G36004700022001000,G36004700022001000,1.0,1.0
G36004700022001001,G36004700022001001,1.0,1.0
G36004700022001002,G36004700022001002,1.0,1.0
G36004700022001003,G36004700022001003,1.0,1.0
G36004700022001004,G36004700022001004,1.0,1.0
G36004700022001005,G36004700022001005,1.0,1.0
G36004700022001006,G36004700022001006,1.0,1.0
G36004700022001007,G36004700022001007,0.549026876738,0.549026876738
G36004700022001007,G36004700022001008,0.247265987025,0.247265987025
G36004700022001007,G36004700022001009,0.099351251158,0.099351251158
G36004700022001007,G36004700022001010,0.104355885079,0.104355885079
G36004700022002000,G36004700022002000,1.0,1.0
G36004700022002001,G36004700022002004,1.0,1.0
G36004700022002002,G36004700022002005,0.223030064846,0.223030064846
G36004700022002002,G36004700022002006,0.46472784437,0.46472784437
G36004700022002002,G36004700022002007,0.216938494793,0.216938494793
G36004700022002002,G36004700074004000,0.095303595991,0.095303595991
G36004700022002003,G36004700022002005,0.231245447924,0.231245447924
G36004700022002003,G36004700022002006,0.40804806992,0.40804806992
G36004700022002003,G36004700022002007,0.360706482156,0.360706482156
G36004700022002004,G36004700022002002,1.0,1.0
G36004700022002005,G36004700022002001,1.0,1.0
G36004700022002006,G36004700022002003,1.0,1.0
G36004700022003000,G36004700022003000,1.0,1.0
G36004700022003001,G36004700022003001,1.0,1.0
G36004700022003002,G36004700022003002,1.0,1.0
G36004700022003003,G36004700022003003,1.0,1.0
G36004700022003004,G36004700022003004,1.0,1.0
G36004700022003005,G36004700022004000,1.0,1.0
G36004700022003006,G36004700022003005,0.435789473684,0.435789473684
G36004700022003006,G36004700022003006,0.564210526316,0.564210526316
G36004700022003007,G36004700022003005,0.120540804691,0.120540804691
G36004700022003007,G36004700022003006,0.879459195309,0.879459195309
G36004700022003008,G36004700022004002,0.0,0.077024279392
G36004700022003008,G36004700022004003,1.0,0.922975720608
G36004700022003009,G36004700022004001,1.0,1.0
G36004700022003010,G36004700022004001,1.0,1.0
G36004700022003011,G36004700022004004,1.0,1.0
G36004700022003012,G36004700022003011,1.0,1.0
G36004700022003013,G36004700022003007,1.0,1.0
G36004700022003014,G36004700022003008,0.258594917788,0.258594917788
G36004700022003014,G36004700022003009,0.355754857997,0.355754857997
G36004700022003014,G36004700022003010,0.385650224215,0.385650224215
G36004700023001000,G36004700023001000,1.0,1.0
G36004700023001001,G36004700023001000,1.0,1.0
G36004700023001002,G36004700023001001,0.098859315589,0.098859315589
G36004700023001002,G36004700023001002,0.615598627469,0.615598627469
G36004700023001002,G36004700023001004,0.285542056941,0.285542056941
G36004700023001003,G36004700023001003,0.461538461538,0.461538461538
G36004700023001003,G36004700023001005,0.538461538462,0.538461538462
G36004700023002000,G36004700023002000,1.0,1.0
G36004700023003000,G36004700023003000,1.0,1.0
G36004700023003001,G36004700023003001,1.0,1.0
G36004700023003002,G36004700023003002,0.169179657552,0.169179657552
G36004700023003002,G36004700023003003,0.830820342448,0.830820342448
G36004700023003003,G36004700023003002,0.004506115442,0.004506115442
G36004700023003003,G36004700023003003,0.995493884558,0.995493884558
G36004700023003004,G36004700023003004,0.144893111639,0.144893111639
G36004700023003004,G36004700023003005,0.161765910394,0.161765910394
G36004700023003004,G36004700023003006,0.693340977967,0.693340977967
G36004700023003005,G36004700023003003,1.0,1.0
G36004700023003006,G36004700023003007,1.0,1.0
G36004700023003007,G36004700023003008,0.200981595092,0.200981595092
G36004700023003007,G36004700023003009,0.799018404908,0.799018404908
G36004700029011000,G36004700029011000,1.0,1.0
G36004700029011001,G36004700029011000,1.0,1.0
G36004700029011002,G36004700029011001,0.410131514856,0.410131514856
G36004700029011002,G36004700029011002,0.589868485144,0.589868485144
G36004700029011003,G36004700029011001,0.411178509532,0.411178509532
G36004700029011003,G36004700029011002,0.588821490468,0.588821490468
G36004700029011004,G36004700029011004,1.0,1.0
G36004700029011005,G36004700029011003,1.0,1.0
G36004700029011006,G36004700029011003,1.0,1.0
G36004700029011007,G36004700029011005,1.0,1.0
G36004700029011008,G36004700029011006,1.0,1.0
G36004700029011009,G36004700029011007,1.0,1.0
G36004700029012000,G36004700029012000,1.0,1.0
G36004700029012001,G36004700029012001,1.0,0.439584877687
G36004700029012001,G36004700029012002,0.0,0.560415122313
G36004700029012002,G36004700029012004,1.0,1.0
